item_id,letter_string,lexicality,frequency_class,donor_word,is_practice
HF001,time,word,high_frequency,,false
HF002,people,word,high_frequency,,false
HF003,water,word,high_frequency,,false
HF004,world,word,high_frequency,,false
HF005,house,word,high_frequency,,false
HF006,school,word,high_frequency,,false
HF007,family,word,high_frequency,,false
HF008,friend,word,high_frequency,,false
HF009,money,word,high_frequency,,false
HF010,music,word,high_frequency,,false
HF011,story,word,high_frequency,,false
HF012,place,word,high_frequency,,false
HF013,right,word,high_frequency,,false
HF014,child,word,high_frequency,,false
HF015,work,word,high_frequency,,false
HF016,life,word,high_frequency,,false
HF017,year,word,high_frequency,,false
HF018,hand,word,high_frequency,,false
HF019,room,word,high_frequency,,false
HF020,food,word,high_frequency,,false
HF021,book,word,high_frequency,,false
HF022,city,word,high_frequency,,false
HF023,game,word,high_frequency,,false
HF024,light,word,high_frequency,,false
HF025,night,word,high_frequency,,false
HF026,name,word,high_frequency,,false
HF027,home,word,high_frequency,,false
HF028,mother,word,high_frequency,,false
HF029,father,word,high_frequency,,false
HF030,morning,word,high_frequency,,false
LF001,abode,word,low_frequency,,false
LF002,amulet,word,low_frequency,,false
LF003,anvil,word,low_frequency,,false
LF004,beaker,word,low_frequency,,false
LF005,bison,word,low_frequency,,false
LF006,bramble,word,low_frequency,,false
LF007,cask,word,low_frequency,,false
LF008,chisel,word,low_frequency,,false
LF009,cobble,word,low_frequency,,false
LF010,drowsy,word,low_frequency,,false
LF011,ember,word,low_frequency,,false
LF012,falcon,word,low_frequency,,false
LF013,fickle,word,low_frequency,,false
LF014,fjord,word,low_frequency,,false
LF015,gable,word,low_frequency,,false
LF016,grotto,word,low_frequency,,false
LF017,hinge,word,low_frequency,,false
LF018,ivory,word,low_frequency,,false
LF019,jostle,word,low_frequency,,false
LF020,kiln,word,low_frequency,,false
LF021,lichen,word,low_frequency,,false
LF022,mantle,word,low_frequency,,false
LF023,morsel,word,low_frequency,,false
LF024,niche,word,low_frequency,,false
LF025,otter,word,low_frequency,,false
LF026,quiver,word,low_frequency,,false
LF027,relic,word,low_frequency,,false
LF028,spindle,word,low_frequency,,false
LF029,thimble,word,low_frequency,,false
LF030,warden,word,low_frequency,,false
PW001,mirkat,nonword,pseudoword,market,false
PW002,plenit,nonword,pseudoword,planet,false
PW003,sulvir,nonword,pseudoword,silver,false
PW004,bittin,nonword,pseudoword,button,false
PW005,puncel,nonword,pseudoword,pencil,false
PW006,robbot,nonword,pseudoword,rabbit,false
PW007,buskit,nonword,pseudoword,basket,false
PW008,cendlu,nonword,pseudoword,candle,false
PW009,packit,nonword,pseudoword,pocket,false
PW010,tockut,nonword,pseudoword,ticket,false
PW011,yalliw,nonword,pseudoword,yellow,false
PW012,parpla,nonword,pseudoword,purple,false
PW013,wuntir,nonword,pseudoword,winter,false
PW014,simmor,nonword,pseudoword,summer,false
PW015,ietomn,nonword,pseudoword,autumn,false
PW016,dicter,nonword,pseudoword,doctor,false
PW017,nirsi,nonword,pseudoword,nurse,false
PW018,littur,nonword,pseudoword,letter,false
PW019,pepor,nonword,pseudoword,paper,false
PW020,cuffua,nonword,pseudoword,coffee,false
PW021,urengu,nonword,pseudoword,orange,false
PW022,bonene,nonword,pseudoword,banana,false
PW023,onomol,nonword,pseudoword,animal,false
PW024,cemore,nonword,pseudoword,camera,false
PW025,battla,nonword,pseudoword,bottle,false
PW026,bradgu,nonword,pseudoword,bridge,false
PW027,cerclu,nonword,pseudoword,circle,false
PW028,ungenu,nonword,pseudoword,engine,false
PW029,farist,nonword,pseudoword,forest,false
PW030,eslund,nonword,pseudoword,island,false
PW031,jeckot,nonword,pseudoword,jacket,false
PW032,ketchan,nonword,pseudoword,kitchen,false
PW033,loddur,nonword,pseudoword,ladder,false
PW034,marrer,nonword,pseudoword,mirror,false
PW035,noadli,nonword,pseudoword,needle,false
PW036,affuca,nonword,pseudoword,office,false
PW037,polluw,nonword,pseudoword,pillow,false
PW038,quiun,nonword,pseudoword,queen,false
PW039,reckut,nonword,pseudoword,rocket,false
PW040,soddli,nonword,pseudoword,saddle,false
PW041,tinnul,nonword,pseudoword,tunnel,false
PW042,vullogu,nonword,pseudoword,village,false
PW043,wellit,nonword,pseudoword,wallet,false
PW044,zobri,nonword,pseudoword,zebra,false
PW045,uncher,nonword,pseudoword,anchor,false
PW046,battar,nonword,pseudoword,butter,false
PW047,corpot,nonword,pseudoword,carpet,false
PW048,dusirt,nonword,pseudoword,desert,false
PW049,fuothor,nonword,pseudoword,feather,false
PW050,geetir,nonword,pseudoword,guitar,false
PW051,hummir,nonword,pseudoword,hammer,false
PW052,unsoct,nonword,pseudoword,insect,false
PW053,jinglo,nonword,pseudoword,jungle,false
PW054,kattun,nonword,pseudoword,kitten,false
PW055,lomen,nonword,pseudoword,lemon,false
PW056,mugnut,nonword,pseudoword,magnet,false
PW057,nopkun,nonword,pseudoword,napkin,false
PW058,ucien,nonword,pseudoword,ocean,false
PW059,paruto,nonword,pseudoword,pirate,false
PW060,rebit,nonword,pseudoword,robot,false
PRW001,table,word,practice_word,,true
PRW002,chair,word,practice_word,,true
PRW003,green,word,practice_word,,true
PRW004,river,word,practice_word,,true
PRW005,happy,word,practice_word,,true
PRW006,stone,word,practice_word,,true
PRW007,dance,word,practice_word,,true
PRW008,beach,word,practice_word,,true
PRW009,apple,word,practice_word,,true
PRW010,cloud,word,practice_word,,true
PRW011,bread,word,practice_word,,true
PRW012,train,word,practice_word,,true
PRW013,smile,word,practice_word,,true
PRW014,garden,word,practice_word,,true
PRW015,window,word,practice_word,,true
PRP001,custlo,nonword,practice_pseudoword,castle,true
PRP002,fluwar,nonword,practice_pseudoword,flower,true
PRP003,poontor,nonword,practice_pseudoword,painter,true
PRP004,shedaw,nonword,practice_pseudoword,shadow,true
PRP005,mankoy,nonword,practice_pseudoword,monkey,true
PRP006,segnol,nonword,practice_pseudoword,signal,true
PRP007,treval,nonword,practice_pseudoword,travel,true
PRP008,blonkit,nonword,practice_pseudoword,blanket,true
PRP009,curnar,nonword,practice_pseudoword,corner,true
PRP010,dannar,nonword,practice_pseudoword,dinner,true
PRP011,inirgy,nonword,practice_pseudoword,energy,true
PRP012,fongar,nonword,practice_pseudoword,finger,true
PRP013,geldon,nonword,practice_pseudoword,golden,true
PRP014,hitil,nonword,practice_pseudoword,hotel,true
PRP015,eduu,nonword,practice_pseudoword,idea,true
